,0
0,2501.239844999999
1,2620.687594999999
2,2524.585790000001
3,2503.892913
4,2472.508953
5,2544.126752000001
6,2530.448019
7,2560.936777
8,2445.713212
9,2403.679173
10,2446.866494000001
11,2469.295412
12,2569.594398000001
13,2577.466649000001
14,2557.048781
15,2572.754228000001
16,2663.523032000001
17,2602.633286000001
18,2492.740707000001
19,2631.729371000002
20,2593.224139999999
21,2581.814529000001
22,2512.118075
23,2474.332102
24,2557.919912999999
25,2635.903805999999
26,2596.176452
27,2631.261616000001
28,2558.786440999999
29,2648.930151
30,2666.595690000001
31,2817.105236999999
32,2701.874699
33,2702.826778999999
34,2609.839607
35,2700.170592
36,2633.927892
37,2731.430548999999
38,2716.915007
39,2798.285287000001
40,2681.955773
41,2838.243450000002
42,2712.238803000001
43,2837.913028000001
44,2802.810591
45,2674.829784
46,2557.777043000001
47,2720.934625
48,2712.55032
49,2756.957947999999
50,2659.905943999999
51,2729.406324999999
52,2791.539281999998
53,2694.985188
54,2693.202835
55,2694.562526
56,2742.175945999999
57,2659.753765
58,2683.917936
59,2592.09692
60,2568.717147000001
61,2630.109947000001
62,2632.483122
63,2628.926232
64,2652.759999
65,2665.997612
66,2674.955602
67,2815.739602999999
68,2671.392736000001
69,2608.069796
70,2546.659606000001
71,2621.302352
72,2594.995884000001
73,2680.340664
74,2576.978181
75,2565.154758
76,2622.465972
77,2647.042228
78,2675.99189
79,2727.60367
80,2719.375317
81,2602.735433999999
82,2608.217039000001
83,2667.804753000001
84,2651.78094
85,2781.653157000001
86,2627.889264
87,2705.445555000002
88,2695.934781
89,2683.437965
90,2729.223840000001
91,2654.556181999999
92,2655.35511
93,2539.486402
94,2493.749020000001
95,2514.882559000001
96,2579.594071
97,2650.584345
98,2473.403358999999
99,2507.529132
100,2426.303338
101,2501.898737
102,2531.702341
103,2512.721665
104,2469.430442
105,2464.550603
106,2431.537854
107,2508.977854
108,2455.27071
109,2607.930638
110,2379.112734
111,2308.916902999999
112,2369.806935
113,2467.755477000001
114,2381.288859
115,2476.100873999999
116,2396.637438
117,2335.690752
118,2233.898335999998
119,2368.410887999999
120,2220.04873
121,2402.705441000001
122,2280.565505
123,2354.24806
124,2420.649777
125,2395.713182000001
126,2389.339660000001
127,2489.862797000001
128,2431.814089999999
129,2307.070655999999
130,2271.354211
131,2327.897808000001
132,2181.348925
133,2362.10565
134,2185.401028999998
135,2251.277886
136,2308.102643
137,2385.959701
138,2392.712118000001
139,2468.904486
140,2371.588777
141,2182.628732999999
142,2142.890678
143,2494.696294000001
144,2206.291457
145,2335.591239999999
146,2249.931763
147,2195.099196000001
148,2474.185834
149,2578.059562
150,2246.322991000001
151,2326.656336
152,2222.276871
153,2083.650321999999
154,2021.461461
155,2133.127778
156,2320.494719000001
157,2446.384412
158,2159.824635999999
159,2207.019388
160,2291.333011999999
161,2272.952021
162,2350.094922
163,2432.444418999999
164,2465.016858
165,2422.59289
166,2309.692442
167,2441.601228000001
168,2382.222861
169,2580.405409999999
170,2586.740973
171,2728.550888
172,2737.177273
173,2814.791744000001
174,2852.946349
175,2960.290177000001
176,2916.434391000001
177,2765.199858
178,2648.64508
179,2806.434202
180,2829.662379999999
181,3038.748637
182,2884.754804
183,2914.540481999999
184,3093.450916999999
185,3208.610094
186,3083.069589000001
187,3224.027308999999
188,3031.292622000001
189,2941.763640000001
190,2923.7373
191,3113.627538
192,3043.965044
193,3218.751041
194,3130.183007000001
195,3149.586661
196,3180.923027999999
197,3357.639848
198,3297.702884000001
199,3373.387663999999
200,3353.018033
201,3475.357076000001
202,3601.229673
203,3624.283532999999
204,3609.767837
205,3809.932029999999
206,3796.457539000001
207,3996.876280999999
208,3952.106697
209,3863.763389
210,3808.850793000001
211,4015.497589999999
212,3973.506816999999
213,3826.729500999998
214,3819.732676
215,3944.737257000001
216,3951.416188000001
217,3976.100427999999
218,3882.226745999999
219,3805.925784000002
220,3890.654755
221,3997.075369000001
222,4150.768246000001
223,4166.245297999998
224,3844.015574
225,3856.04106
226,3847.007258999999
227,3982.056165000001
228,3851.306240999999
229,3904.964554000001
230,3878.664452
231,3950.813484999999
232,4176.344579999999
233,4104.824803999999
234,4142.991708999999
235,4148.618920999998
236,4180.826899999999
237,4249.795709
238,4304.384558000001
239,4733.018500000001
240,4854.122117999999
241,4877.182658
242,4290.778578000001
243,4026.952828999999
244,4057.610923
245,3987.472116
246,4090.943769
247,4135.529227
248,4060.478572
249,3901.583321000002
250,3778.427868000001
251,3814.494638999999
252,3741.745709
253,3924.831629000001
254,3891.398139
255,3825.490865
256,3945.434428999999
257,4304.877914
258,3976.306199
259,4099.903479000001
260,4063.020571999999
261,4111.397543000001
262,4266.183912999999
263,4334.416191000001
264,4482.085124000001
265,4119.880671
266,3906.871203999999
267,3919.269153999999
268,3964.477095
269,4086.686321
270,4120.325231999998
271,3970.316405
272,4051.300275000001
273,3938.997861999999
274,3926.965881
275,3960.948910999999
276,3807.848426
277,4668.178723
278,4224.680209000001
279,4000.925818000001
280,3834.934371999999
281,3931.548944
282,5215.821331999999
283,5398.483234999998
284,4752.137757000001
285,3697.466305000002
286,3638.838205
287,3524.322760999999
288,3678.373736000001
289,3803.800149000002
290,4575.130106000002
291,3614.050136999999
292,3664.9934
293,3614.661029000001
294,3619.260086
295,3731.378205
296,3688.215801000001
297,3547.638625000001
298,3414.679060999999
299,3469.333029000001
300,3557.846711999999
301,3603.188227000001
302,4509.953724999998
303,3601.800941
304,4046.663673
305,4821.800984000001
306,6246.537813999998
307,5009.063106000001
308,3611.533973999999
309,4017.644801999999
310,3526.680246
311,3709.220325000002
312,3664.342436
313,3712.927154999999
314,3501.420386
315,3599.360772000001
316,3728.345607
317,3776.072116
318,3686.971698999999
319,3736.413587000001
320,3639.019063000001
321,3642.608571
322,3562.490711
323,3532.193773999999
324,3458.679528000001
325,3508.906848999999
326,3523.318628
327,3543.585252
328,3600.241063999998
329,3547.541699999999
330,3522.163865999999
331,3658.953914000001
332,3587.450142
333,3490.813732000001
334,3387.102874
335,3495.353081000001
336,3452.602691
337,3598.065298999999
338,3548.192006
339,3440.41784
340,3540.018420000001
341,3486.591377
342,3548.582450000001
343,3784.452952
344,3521.075808
345,3464.615839999999
346,3351.002442
347,3298.438662
348,3429.573574
349,3525.230422
350,3355.633298
351,3312.162737
352,3350.690220999998
353,3390.893552000002
354,3414.016511999999
355,3508.326539
356,3400.807077999999
357,3205.025685000001
358,3237.579115999999
359,3346.070677999999
360,3233.673568000001
361,3366.278322999999
362,3259.096211
363,3247.70715
364,3227.592122000002
365,3226.139889
366,3277.274505
367,3465.70515
368,3358.823479
369,3238.444094999999
370,3145.340725
371,3106.895874000002
372,3118.184462000002
373,3283.034531999999
374,3136.122493000001
375,3061.123341
376,3155.680987000001
377,3219.410635000002
378,3345.431344000001
379,3418.336386
380,3211.514993000001
381,3160.421623
382,2999.829376999999
383,3058.474688999999
384,3053.038032999999
385,3226.553706
386,3033.156183
387,3075.701402
388,3092.106314
389,3181.121378999999
390,3206.018939000001
391,3202.59493
392,3118.243050000002
393,2957.580238
394,3066.840975
395,3127.413888
396,2887.717241
397,3048.211835
398,2829.697717000002
399,2876.48211
400,3028.409909999998
401,3031.160474
402,3051.299868999999
403,3197.984341
404,3070.299725
405,2982.150475000001
406,2922.346648
407,2944.404072
408,2838.647848000001
409,3032.82729
410,2961.398685000001
411,2906.404155
412,2990.516522999999
413,2908.717458
414,2931.010104
415,3161.490096
416,3094.447675
417,2830.385845999998
418,2777.660815999999
419,2841.207534
420,2708.889789999997
421,2828.335764000001
422,2619.89319
423,2674.595601999999
424,2722.470326000001
425,2780.674675999998
426,2820.751009000001
427,2962.899272999998
428,2787.400666
429,2585.940397999999
430,2545.133194
431,2653.255342999999
432,2534.522375
433,2708.572242999999
434,2576.523482999999
435,2621.6115
436,2733.254732
437,2738.873404999999
438,2606.590125
439,2771.729720000001
440,2633.804076999999
441,2623.741321999999
442,2575.830879
443,2633.740686
444,2642.687415
445,2805.849517
446,2773.977649999999
447,2830.449777
448,2852.588988999999
449,2824.180297
450,2792.980821
451,2959.394614000001
452,2865.766647
453,2738.949107
454,2786.093094999999
455,2887.615105
456,2918.019130000001
457,3105.892882000001
458,2912.996963000001
459,2898.327493
460,2987.681581000001
461,3001.181482000001
462,3207.528217
463,3313.04679
464,3133.725507000001
465,3179.189782
466,3006.679404000001
467,3170.433077
468,3160.816101999999
469,3268.56104
470,3139.944501
471,3222.540430999999
472,3365.946718
473,3313.531559000001
474,3374.292561000001
475,3332.327940999998
476,3339.251324000001
477,3325.336049
478,3405.757926000001
479,3436.90783
480,3343.945668999999
481,3698.304464999999
482,3408.787716999999
483,3565.560463
484,3606.66638
485,3591.139704999999
486,3530.814013
487,3706.788325999999
488,3789.766608
489,3685.282987
490,3652.479119
491,3599.422671
492,3503.100242
493,3780.781090000001
494,3572.144778999999
495,3568.601377
496,3742.869252999998
497,3680.069897
498,3731.639335999999
499,3867.678187
500,3870.346583
501,3759.912369
502,3607.480426
503,3623.843423000001
504,3829.388937
505,3983.408908000001
506,3699.841278000002
507,3766.770503
508,3823.256415
509,3915.294162
510,3934.209323999999
511,4011.291187000002
512,3862.621194000001
513,3905.259859
514,3972.858412
515,3912.515087
516,3804.136034
517,3725.679667000001
518,3858.579682999999
519,3831.872795000001
520,3952.399543999999
521,3997.879821000001
522,4123.553070999999
523,4069.463134000003
524,4065.797359999999
525,4050.959918
526,3939.581307000001
527,3932.508061999999
528,4172.369817
529,4339.740519999999
530,4061.894198000002
531,3903.948531
532,4020.220015999999
533,4046.284222000002
534,4114.900121000001
535,4043.754799000001
536,4013.937327000001
537,3823.028216999999
538,3805.437721
539,3857.472633
540,3842.887785
541,3970.813013000002
542,3778.859811000003
543,3682.765346999999
544,3850.295765999999
545,3844.371102000001
546,3882.83639
547,3963.891044
548,3829.066283999999
549,3895.962017
550,3799.632627
551,3865.010669000001
552,3892.50671
553,3899.723627000001
554,3811.113801
555,3759.336122999999
556,3748.441702000001
557,3934.813929999999
558,3836.975681
559,3796.409681000001
560,3761.098794
561,3735.646262000001
562,3750.062469999999
563,3705.789983999998
564,3497.906786
